School ID,School,Program Name,"Program Location, State",Tuition Max,Living Expenses Max,Non-Payment Periods,IR 36,IR 60,IO 36,IO 60,DEF 36,DEF 60,market_segment,Partnership Page URL,DT/OL 36,DT/OL 60,Living Expense Loan Available,Living Expense Months (Length of program)
1,4Geeks Academy,Full Stack Software Development - Full-time,"Miami, FL",9499,3000,0,yes,yes,no,no,no,no,SK4GFS19,partner.ascentfunding.com/4geeksacademy,no,no,no,3
1,4Geeks Academy,Full Stack Software Development - Part-time,"Miami, FL",7499,,0,yes,yes,no,no,no,no,SK4G18,partner.ascentfunding.com/4geeksacademy,no,no,no,4
3,Austin Coding Academy,Full Stack Javascript,"Austin, TX",10960,,12,yes,yes,yes,yes,yes,yes,SKACFSJ18,partner.ascentfunding.com/austincodingacademy,no,no,no,9
3,Austin Coding Academy,UX Design,"Austin, TX",10960,,10,yes,yes,yes,yes,yes,yes,SKACUX18,partner.ascentfunding.com/austincodingacademy,no,no,no,7
5,Bethel Tech,Data Science Online,Online,15900,,9,yes,yes,yes,yes,yes,yes,SKBTDSO18,partner.ascentfunding.com/betheltech,no,no,no,6
5,Bethel Tech,Web Development Online,Online,15900,,11,yes,yes,yes,yes,yes,yes,SKBTOWD17,partner.ascentfunding.com/betheltech,no,no,no,8
6,BoiseCodeWorks,Full Stack Immersive,"Boise, ID",7800,3000,6,no,no,yes,yes,yes,yes,SFBOII17,partner.ascentfunding.com/boisecodeworks,no,no,no,4
7,Bottega,Fulltime Software Development In Person,"Salt Lake City, UT",12000,4000,6,no,no,yes,yes,yes,yes,SKBOTSD17,partner.ascentfunding.com/bottega,no,no,no,3
7,Bottega,Fulltime Software Development Remote,Online,12000,4000,6,no,no,yes,yes,yes,yes,SKBOTSDR17,partner.ascentfunding.com/bottega,no,no,no,3
7,Bottega,Part Time Software Development,"Salt Lake City, UT",7500,,10,yes,yes,yes,yes,yes,yes,SKBOTSDP17,partner.ascentfunding.com/bottega,no,no,no,7
8,Burlington Code Academy,Web Development Bootcamp,"Hartford, CT",9950,,6,no,no,yes,yes,yes,yes,SKBU18,partner.ascentfunding.com/burlingtoncodeacademy,no,no,no,3
8,Burlington Code Academy,JavaScript After Hours,"Burlington, VT",3950,,5,no,no,yes,yes,yes,yes,SKBURJS19,partner.ascentfunding.com/burlingtoncodeacademy,no,no,no,3
8,Burlington Code Academy,Web Development Bootcamp,"Burlington, VT",9950,,6,no,no,yes,yes,yes,yes,SKBU18,partner.ascentfunding.com/burlingtoncodeacademy,no,no,no,3
12,Career Foundry,UI Design Program,Online,6900,,13,yes,yes,yes,yes,yes,yes,SKCFUID18,partner.ascentfunding.com/careerfoundry,no,no,no,10
12,Career Foundry,UX Design Program,Online,6900,,13,yes,yes,yes,yes,yes,yes,SKCFUXC18,partner.ascentfunding.com/careerfoundry,no,no,no,10
12,Career Foundry,Web Development Program,Online,6900,,10,yes,yes,yes,yes,yes,yes,SKCFWD18,partner.ascentfunding.com/careerfoundry,no,no,no,7
13,Carolina Code School,Web Development,"Greenville, SC",13900,3000,6,no,no,yes,yes,yes,yes,SKCARCD18,partner.ascentfunding.com/carolinacodeschool,no,no,no,3
52,MAX Technical Training,.NET Bootcamp,"Cincinnati, OH",14000,3000,5,no,no,yes,yes,yes,yes,SKCINNET17,partner.ascentfunding.com/maxtrain,no,no,no,3
52,MAX Technical Training,Java Bootcamp,"Cincinnati, OH",14000,3000,5,no,no,yes,yes,yes,yes,SKCINJAV17,partner.ascentfunding.com/maxtrain,no,no,no,3
52,MAX Technical Training,Java Developer Bootcamp- Part-Time,"Cincinnati, OH",14000,,10,no,no,yes,yes,yes,yes,SKCINJAV18,partner.ascentfunding.com/maxtrain,no,no,no,7
14,Code Fellows,Software Development Daytime,"Seattle, WA",23000,6750,7,no,no,yes,yes,yes,yes,SKCFFT18,partner.ascentfunding.com/codefellows,no,no,no,5
14,Code Fellows,Software Development Nights & Weekends,"Seattle, WA",23000,,0,yes,yes,no,no,no,no,SKCFPT18,partner.ascentfunding.com/codefellows,no,no,no,9
15,Codesmith,Software Engineering Immersive,"Venice, CA",19350,6000,6,no,no,yes,yes,yes,yes,SKCSMItH19,partner.ascentfunding.com/codesmith,no,no,no,3
15,Codesmith,Software Engineering Immersive,"New York City, NY",19350,6000,6,no,no,yes,yes,yes,yes,SKCSMItH19,partner.ascentfunding.com/codesmith,no,no,no,3
16,Codeup,Full Stack Bootcamp,"San Antonio, TX",27500,,8,no,no,yes,yes,yes,yes,SFCUP19,partner.ascentfunding.com/codeup,no,no,no,5
17,Coding Dojo,Onsite Bootcamp,"Los Angeles, CA",15995,,6,no,no,yes,yes,yes,yes,SKCD17,partner.ascentfunding.com/codingdojo,no,no,no,4
17,Coding Dojo,Onsite Bootcamp,"Silicon Valley, CA",15995,,6,no,no,yes,yes,yes,yes,SKCD17,partner.ascentfunding.com/codingdojo,no,no,no,4
